Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C6, C8, C9",0603,6,100nF,C1590
"C4, C5",CASE-A_3216,2,22uF,C7182
C7,1206,1,22uF,C5672
D1,SOD3715X135N,1,BZT52C3V3,C151564
D2,SOD3715X135N,1,BZT52C5V1,C151588
D3,DFN1610-2L_L1.6-W1.0-P1.10-RD,1,TPTVS0971P,C2923378
D4,0603,1,LED_Encendido,C2297
D7,0603,1,LED_ESP32_RED, C2286 
D8,0603,1,LED_ESP32_YELLOW,C2296
"J1, J2",XKB_DC-005-5A-2.0,2,DC-005-5A-2.0,C381116
"J10, J14",CONN-TH_2P-P5.00_CPC3703CTR,2,~,C3703
J11,PinHeader_1x03_P2.54mm_Vertical,1,RC,C52016391
"J12, J8",HDR-TH_6P-P2.54-V-M-R2-C3-S2.54-1,2,~,C65114
"J13, J15, J9",HDR-TH_16P-P2.54-V-M-R2-C8-S2.54,3,~, C68234
J16,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,~,C2988369
J3,TE_282836-6,1,282836-6,C192781
J4,IDC-TH_40P-P2.54_C9138,1,~,C9138
"J5, J6",CONN-TH_S4B-XH-A-LF-SN,2,~,C157925
J7,CONN-TH_S3B-XH-A-LF-SN,1,~,C157928
JP11,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper_Soldado,
K1,RELAY-TH_SRD-XXVDC-XL-C,1,Relé-Arranque,C35449
"Q1, Q2, Q3, Q4",IRFR5305TRPBF,4,IRFR5305TRPBF,C2624
Q10,RQ5P0,1,~,C962659
"Q5, Q6, Q7, Q8",TRANS_IRLML6344TRPBF,4,IRLML6344TRPBF,C22367220
Q9,SI2301CDS,1,~,C5197335
"R1, R13, R6",0603,3,1K,C14676
"R10, R18",RES-ARRAY-SMD_1606-16P-L4.0-W1.6-BL,2,4.7kΩ,C706486
"R11, R2, R20, R21, R5, R7, R8, R9",0603,8,47K,C105579
R12,1206,1,47K,C136469
"R14, R22, R23",0603,3,10K,C98220
R15,0603,1,390,C114620
"R16, R17, R19",0603,3,4.7K,C99782
"R24, R27",0603,2,180,C4316945
"R25, R28",0603,2,5.1K,C14677
R26,1206,1,1.5K,C114929
"R3, R4",0603,2,6.8K,C114632
"SW1, SW2",Boton_Simple,2,~,C36936655
U1,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16,C2913199
U2,VQFN-24_L4.0-W4.0-P0.50-BL-EP2.5,1,TCA,C555456
U3,SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL,1,MCP,C558584
U4,AMS1117,1,AMS,C6186
