Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",-1131.000000,113.300000,0.000000,top
"C2","100nF","C_0603_1608Metric",-1130.500000,73.000000,-90.000000,top
"C3","100nF","C_0603_1608Metric",-1129.000000,73.000000,-90.000000,top
"C4","22uF","CASE-A_3216",-1127.300000,72.500000,-90.000000,top
"C5","22uF","CASE-A_3216",-1132.100000,72.600000,-90.000000,top
"C6","100nF","C_0603_1608Metric",-1101.000000,87.400000,0.000000,top
"C7","22uF","C_1206_3216Metric",-1101.800000,89.300000,0.000000,top
"C8","100nF","C_0603_1608Metric",-1105.400000,97.500000,0.000000,top
"C9","100nF","C_0603_1608Metric",-1164.200000,114.975000,-90.000000,top
"D1","BZT52C3V3","SOD3715X135N",-1157.800000,47.800000,180.000000,top
"D2","BZT52C5V1","SOD3715X135N",-1178.376250,47.440000,180.000000,top
"D3","1N6267A","D_DO-201AE_P15.24mm_Horizontal",-1135.400000,55.200000,0.000000,top
"D4","LED_Encendido","LED_0603_1608Metric",-1164.800000,69.800000,0.000000,top
"D5","1N6267A","D_DO-201AE_P15.24mm_Horizontal",-1148.600000,87.600000,0.000000,top
"D7","LED_ESP32_RED","LED_0603_1608Metric",-1123.000000,68.200000,180.000000,top
"D8","LED_ESP32_YELLOW","LED_0603_1608Metric",-1101.700000,51.700000,90.000000,top
"J3","RC","PinHeader_1x03_P2.54mm_Vertical",-1124.000000,81.400000,180.000000,top
"J4","Pruebas","PinHeader_1x06_P2.54mm_Vertical",-1114.000000,47.400000,90.000000,top
"J5","GPIO1-Libre","PinHeader_1x03_P2.54mm_Vertical",-1113.300000,56.600000,90.000000,top
"J6","GPIO2-Libre","PinHeader_1x03_P2.54mm_Vertical",-1113.500000,52.100000,90.000000,top
"J7","DC-005-5A-2.0","XKB_DC-005-5A-2.0",-1152.100000,37.600000,90.000000,top
"J8","DC-005-5A-2.0","XKB_DC-005-5A-2.0",-1170.100000,37.100000,90.000000,top
"J9","282836-6","TE_282836-6",-1107.217500,40.600000,0.000000,top
"J10","~","CONN-TH_2P-P5.00_CPC3703CTR",-1095.600000,119.100000,90.000000,top
"J11","~","HDR-TH_16P-P2.54-V-M-R2-C8-S2.54",-1117.700000,122.300000,180.000000,top
"J12","~","HDR-TH_16P-P2.54-V-M-R2-C8-S2.54",-1167.200000,87.900000,0.000000,top
"J13","~","CONN-TH_2P-P5.00_CPC3703CTR",-1177.300000,130.600000,180.000000,top
"J14","~","HDR-TH_6P-P2.54-V-M-R2-C3-S2.54-1",-1123.600000,73.600000,-90.000000,top
"J15","~","CONN-TH_S4B-XH-A-LF-SN",-1163.900000,125.200000,0.000000,top
"J16","~","CONN-TH_S4B-XH-A-LF-SN",-1180.900000,91.400000,90.000000,top
"J17","~","CONN-TH_S3B-XH-A-LF-SN",-1180.900000,78.900000,90.000000,top
"J18","~","HDR-TH_6P-P2.54-V-M-R2-C3-S2.54-1",-1185.300000,48.200000,0.000000,top
"J19","~","HDR-TH_16P-P2.54-V-M-R2-C8-S2.54",-1167.200000,82.800000,0.000000,top
"J20","~","IDC-TH_40P-P2.54_C9138",-1128.100000,130.100000,180.000000,top
"J21","~","USB-C-SMD_G-SWITCH_GT-USB-7010ASV",-1096.800000,106.900000,90.000000,top
"K1","Relé-Arranque","RELAY-TH_SRD-XXVDC-XL-C",-1132.400000,43.800000,180.000000,top
"K2","Relé-Bateria","RELAY-TH_SRD-XXVDC-XL-C",-1144.600000,99.800000,90.000000,top
