Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C6, C8, C9",0603,6,100nF,C1590
"C4, C5",CASE-A_3216,2,22uF,C7182
C7,1206,1,22uF,C5672
D1,SOD3715X135N,1,BZT52C3V3,C151564
D2,SOD3715X135N,1,BZT52C5V1,C151588
"D3, D5",D_DO-201AE_P15.24mm_Horizontal,2,1N6267A, C1975954
D4,0603,1,LED_Encendido,C2297
D7,0603,1,LED_ESP32_RED, C2286 
D8,0603,1,LED_ESP32_YELLOW,C2296
"J10, J13",CONN-TH_2P-P5.00_CPC3703CTR,2,~,C3703
"J11, J12, J19",HDR-TH_16P-P2.54-V-M-R2-C8-S2.54,3,~, C68234
"J14, J18",HDR-TH_6P-P2.54-V-M-R2-C3-S2.54-1,2,~,C65114
"J15, J16",CONN-TH_S4B-XH-A-LF-SN,2,~,C157925
J17,CONN-TH_S3B-XH-A-LF-SN,1,~,C157928
J20,IDC-TH_40P-P2.54_C9138,1,~,C9138
J21,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,~,C2988369
J3,PinHeader_1x03_P2.54mm_Vertical,1,RC,C52016391
J4,PinHeader_1x06_P2.54mm_Vertical,1,Pruebas,
J5,PinHeader_1x03_P2.54mm_Vertical,1,GPIO1-Libre,
J6,PinHeader_1x03_P2.54mm_Vertical,1,GPIO2-Libre,
"J7, J8",XKB_DC-005-5A-2.0,2,DC-005-5A-2.0,C381116
J9,TE_282836-6,1,282836-6,C192781
"JP1, JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,16,Jumper_Soldado,
K1,RELAY-TH_SRD-XXVDC-XL-C,1,Relé-Arranque,C35449
K2,RELAY-TH_SRD-XXVDC-XL-C,1,Relé-Bateria,C35449
"Q1, Q2, Q3, Q4",IRFR5305TRPBF,4,IRFR5305TRPBF,C2624
"Q5, Q6, Q7, Q8, Q9",TRANS_IRLML6344TRPBF,5,IRLML6344TRPBF,C22367220
"R1, R6",1206,2,1K,C1469
"R10, R18",RES-ARRAY-SMD_1606-16P-L4.0-W1.6-BL,2,4.7kΩ,C706486
"R11, R2, R37, R5, R7, R8, R9",1206,7,47K,C25664
"R14, R38, R39",1206,3,10K, C1489
R15,1206,1,390,C25378
"R16, R17, R19",1206,3,4.7K, C26043
"R3, R4",1206,2,6.8K,C26046
R35,RES-TH_BD2.5-L6.5-P10.50-D0.6,1,47K,C61302
R36,RES-TH_BD1.9-L3.3-P7.30-D0.5,1,1.5K,C58615
"R42, R43",1206,2,180,C25356
"R44, R45",1206,2,5.1K,C26044
"SW1, SW2",Boton_Simple,2,~,C36936655
U1,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16,C2913199
U2,VQFN-24_L4.0-W4.0-P0.50-BL-EP2.5,1,TCA,C555456
U3,SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL,1,MCP,C558584
U4,AMS1117,1,AMS,C6186
