Designator,Mid X,Mid Y,Rotation,Layer
C1,-1131.0,113.3,0.0,top
C2,-1130.5,73.0,270.0,top
C3,-1129.0,73.0,270.0,top
C4,-1127.3,72.5,270.0,top
C5,-1132.1,72.6,270.0,top
C6,-1101.0,87.4,0.0,top
C7,-1101.7,89.5,0.0,top
C8,-1105.4,97.5,0.0,top
C9,-1164.2,114.975,270.0,top
D1,-1157.8,47.8,180.0,top
D2,-1178.37625,47.44,180.0,top
D3,-1135.4,55.2,180.0,top
D4,-1164.8,69.8,0.0,top
D7,-1123.0,68.2,180.0,top
D8,-1101.7,51.7,90.0,top
J1,-1150.35,40.65,90.0,top
J10,-1177.3,130.6,180.0,top
J11,-1124.0,83.94,180.0,top
J12,-1123.6,73.6,270.0,top
J13,-1167.2,82.8,0.0,top
J14,-1095.6,119.1,90.0,top
J15,-1117.7,122.3,180.0,top
J16,-1096.9285,108.0,90.0,top
J17,-1107.6,47.0,90.0,top
J18,-1110.76,52.3,90.0,top
J19,-1110.86,56.7,90.0,top
J2,-1168.35,40.15,90.0,top
J3,-1107.2175,40.6,0.0,top
J4,-1128.1,130.1,180.0,top
J5,-1163.9,125.2,0.0,top
J6,-1180.9,91.4,90.0,top
J7,-1180.9,78.9,90.0,top
J8,-1185.3,48.2,0.0,top
J9,-1167.2,87.9,0.0,top
K1,-1132.4,43.8,180.0,top
Q1,-1153.2,58.2,90.0,top
Q10,-1142.7,104.1,180.0,top
Q2,-1152.4,69.2,90.0,top
Q3,-1175.53125,58.8,90.0,top
Q4,-1176.13125,69.0,90.0,top
Q5,-1118.5,59.8,270.0,top
Q6,-1122.1,59.8,270.0,top
Q7,-1127.5,59.8,270.0,top
Q8,-1132.6,59.9,270.0,top
Q9,-1149.1,100.1,0.0,top
R1,-1149.2,47.8,180.0,top
R10,-1170.2,109.45,270.0,top
R11,-1132.8,63.475,90.0,top
R12,-1142.1,108.8,270.0,top
R13,-1148.9,105.6,270.0,top
R14,-1125.9,116.6,0.0,top
R15,-1160.6,69.8,180.0,top
R16,-1130.6,97.5,90.0,top
R17,-1133.4,97.525,90.0,top
R18,-1170.2,115.75,270.0,top
R19,-1170.3,120.9,180.0,top
R2,-1152.8,51.4,90.0,top
R20,-1145.4,99.7,270.0,top
R21,-1150.5,96.8,270.0,top
R22,-1110.725,95.0,180.0,top
R23,-1110.3,61.3,180.0,top
R24,-1101.7,56.0,270.0,top
R25,-1103.1,110.3,180.0,top
R26,-1142.1,98.9,270.0,top
R27,-1128.2,68.2,0.0,top
R28,-1102.9,106.5,180.0,top
R3,-1162.0,63.2,0.0,top
R4,-1185.5,64.3,0.0,top
R5,-1174.7,51.8,90.0,top
R6,-1170.9,47.4,180.0,top
R7,-1117.9,63.675,90.0,top
R8,-1122.2,63.6,90.0,top
R9,-1128.0,63.5,90.0,top
SW1,-1102.925,60.8,0.0,top
SW2,-1104.2,95.1,0.0,top
U1,-1109.425,76.95,270.0,top
U2,-1160.05,114.742,0.0,top
U3,-1133.5,118.9,270.0,top
U4,-1131.0,79.76,270.0,top
